,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,# Pl_rank,Poss_rank,90s_rank,Touches_rank,Def Pen_rank,Def 3rd_rank,Mid 3rd_rank,Att 3rd_rank,Att Pen_rank,Live_rank,Att_rank,Succ_rank,Succ%_rank,Tkld_rank,Tkld%_rank,Carries_rank,TotDist_rank,PrgDist_rank,PrgC_rank,1/3_rank,CPA_rank,Mis_rank,Dis_rank,Rec_rank,PrgR_rank,Code,overall_Rank,Continent
0,Argentina,24,57.4,7.7,5408,353,1423,2727,1302,161,5403,118,45,38.1,46,39.0,3694,17779,8827,164,119,35,99,81,3880,305,0.890625,0.84375,0.984375,1.0,0.90625,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,0.546875,0.890625,0.21875,1.0,0.96875,0.96875,0.96875,0.96875,0.953125,0.9375,1.0,1.0,0.96875,ar,0.910625,South America
1,Australia,20,37.8,4.0,2162,307,881,913,382,46,2162,46,13,28.3,28,60.9,1036,5065,2298,39,34,7,61,36,1245,100,0.28125,0.15625,0.609375,0.5,0.84375,0.75,0.46875,0.34375,0.1875,0.5,0.390625,0.28125,0.1875,0.671875,0.9375,0.375,0.28125,0.21875,0.1875,0.296875,0.234375,0.6875,0.609375,0.4375,0.3125,au,0.43,Australia
2,Belgium,20,57.0,3.0,2199,253,838,1004,377,52,2199,45,19,42.2,20,44.4,1319,5705,2593,47,33,12,47,24,1587,130,0.28125,0.8125,0.265625,0.53125,0.65625,0.6875,0.53125,0.3125,0.34375,0.53125,0.34375,0.515625,0.75,0.375,0.453125,0.5625,0.40625,0.375,0.375,0.25,0.53125,0.265625,0.1875,0.59375,0.5625,be,0.46,Europe
3,Brazil,26,56.2,5.3,3803,254,944,1848,1036,166,3802,110,32,29.1,55,50.0,2269,12079,6500,115,101,35,88,58,2722,263,1.0,0.78125,0.859375,0.875,0.6875,0.78125,0.84375,0.90625,0.96875,0.875,0.90625,0.84375,0.25,0.9375,0.734375,0.8125,0.875,0.875,0.90625,0.9375,0.953125,0.875,0.90625,0.84375,0.875,br,0.844375,South America
4,Cameroon,22,41.7,3.0,1579,225,604,673,325,49,1579,55,24,43.6,26,47.3,882,5201,2501,49,24,14,39,24,949,89,0.734375,0.21875,0.265625,0.125,0.46875,0.34375,0.125,0.1875,0.234375,0.125,0.5625,0.609375,0.78125,0.59375,0.625,0.1875,0.34375,0.25,0.4375,0.078125,0.609375,0.0625,0.1875,0.125,0.25,cm,0.34125,Africa
5,Canada,19,52.0,3.0,1897,155,516,945,450,58,1896,82,31,37.8,37,45.1,958,5746,3092,55,42,15,52,30,1296,113,0.109375,0.59375,0.265625,0.40625,0.125,0.09375,0.5,0.5,0.453125,0.40625,0.84375,0.796875,0.5,0.8125,0.5,0.28125,0.4375,0.46875,0.53125,0.5,0.65625,0.453125,0.453125,0.46875,0.421875,ca,0.463125,North America
6,Costa Rica,22,31.3,3.0,1446,248,693,597,172,19,1446,37,17,45.9,10,27.0,769,3508,1654,21,26,1,43,31,816,49,0.734375,0.03125,0.265625,0.0625,0.625,0.46875,0.0625,0.03125,0.03125,0.0625,0.171875,0.390625,0.875,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.15625,0.03125,0.09375,0.53125,0.0625,0.03125,cr,0.19625,North America
7,Croatia,21,54.3,7.7,5308,507,1542,2708,1118,152,5308,99,40,40.4,41,41.4,3477,19515,9907,173,128,34,106,70,3741,344,0.546875,0.75,0.984375,0.96875,1.0,0.96875,0.96875,0.9375,0.90625,0.96875,0.875,0.90625,0.625,0.84375,0.40625,0.96875,1.0,1.0,1.0,1.0,0.90625,0.96875,0.96875,0.96875,1.0,hr,0.8975,Europe
8,Denmark,20,60.0,3.0,2270,164,585,1166,534,70,2270,47,10,21.3,34,72.3,1574,6664,3538,47,29,14,50,25,1579,177,0.28125,0.90625,0.265625,0.59375,0.15625,0.28125,0.6875,0.609375,0.625,0.59375,0.4375,0.15625,0.03125,0.765625,1.0,0.6875,0.5625,0.59375,0.375,0.1875,0.609375,0.359375,0.265625,0.5625,0.703125,dk,0.491875,Europe
9,Ecuador,18,53.3,3.0,1766,118,575,883,322,49,1765,43,13,30.2,20,46.5,945,4573,2183,31,24,4,65,25,1147,73,0.046875,0.6875,0.265625,0.28125,0.03125,0.1875,0.3125,0.15625,0.234375,0.28125,0.296875,0.28125,0.3125,0.375,0.5625,0.25,0.15625,0.15625,0.125,0.078125,0.109375,0.71875,0.265625,0.328125,0.09375,ec,0.26375,South America
10,England,20,62.8,5.0,3642,231,1006,1894,775,116,3640,78,36,46.2,28,35.9,2689,12562,6124,90,73,23,59,29,2743,249,0.28125,0.96875,0.796875,0.8125,0.53125,0.84375,0.875,0.8125,0.84375,0.8125,0.78125,0.875,0.90625,0.671875,0.125,0.875,0.90625,0.84375,0.75,0.78125,0.78125,0.5625,0.375,0.875,0.84375,eng,0.74125,
11,France,24,51.3,7.3,4754,397,1276,2395,1136,173,4752,149,69,46.3,56,37.6,2876,16223,8525,157,91,41,97,69,3249,286,0.890625,0.546875,0.921875,0.9375,0.9375,0.90625,0.90625,0.96875,1.0,0.9375,1.0,1.0,0.9375,0.984375,0.1875,0.9375,0.9375,0.9375,0.9375,0.90625,1.0,0.90625,0.9375,0.90625,0.9375,fr,0.89625,Europe
12,Germany,20,59.3,3.0,2319,174,586,1036,715,127,2318,64,31,48.4,26,40.6,1331,7839,3963,67,65,25,44,41,1672,178,0.28125,0.875,0.265625,0.625,0.1875,0.3125,0.625,0.78125,0.875,0.625,0.71875,0.796875,1.0,0.59375,0.34375,0.59375,0.65625,0.65625,0.65625,0.71875,0.859375,0.140625,0.671875,0.6875,0.75,de,0.611875,Europe
13,Ghana,20,42.0,3.0,1623,214,631,668,343,40,1622,57,27,47.4,20,35.1,844,5174,2568,43,43,4,46,34,966,74,0.28125,0.25,0.265625,0.15625,0.40625,0.40625,0.09375,0.21875,0.125,0.15625,0.59375,0.734375,0.96875,0.375,0.09375,0.125,0.3125,0.3125,0.296875,0.53125,0.109375,0.21875,0.5625,0.15625,0.125,gh,0.315,Africa
14,IR Iran,21,36.7,3.0,1438,179,553,595,311,45,1437,34,11,32.4,16,47.1,778,4264,2121,43,37,7,38,19,762,78,0.546875,0.09375,0.265625,0.03125,0.21875,0.125,0.03125,0.09375,0.15625,0.03125,0.078125,0.1875,0.40625,0.109375,0.59375,0.0625,0.125,0.125,0.296875,0.375,0.234375,0.03125,0.03125,0.03125,0.15625,ir,0.1775,Asia
15,Japan,22,35.8,4.3,2240,269,777,1027,454,66,2240,49,18,36.7,25,51.0,1182,5676,2767,56,47,9,60,36,1312,118,0.734375,0.0625,0.734375,0.5625,0.75,0.625,0.5625,0.53125,0.546875,0.5625,0.46875,0.4375,0.46875,0.53125,0.78125,0.5,0.375,0.40625,0.5625,0.59375,0.40625,0.625,0.609375,0.53125,0.46875,jp,0.5375,Asia
16,Korea Republic,21,48.3,4.0,2420,233,720,1029,682,77,2420,54,13,24.1,34,63.0,1621,6887,3235,42,38,11,47,26,1602,177,0.546875,0.4375,0.609375,0.65625,0.5625,0.5625,0.59375,0.6875,0.671875,0.65625,0.53125,0.28125,0.09375,0.765625,0.96875,0.71875,0.59375,0.5625,0.25,0.40625,0.484375,0.265625,0.3125,0.625,0.703125,kr,0.541875,Asia
17,Mexico,21,54.0,3.0,1777,133,499,890,400,51,1777,43,19,44.2,16,37.2,1107,6252,3146,52,35,8,50,30,1086,120,0.546875,0.71875,0.265625,0.3125,0.0625,0.0625,0.34375,0.4375,0.296875,0.3125,0.296875,0.515625,0.84375,0.109375,0.15625,0.4375,0.53125,0.53125,0.484375,0.34375,0.328125,0.359375,0.453125,0.25,0.5,mx,0.38,North America
18,Morocco,25,39.0,7.3,3719,486,1557,1567,625,92,3719,126,50,39.7,56,44.4,2250,12020,5998,103,83,18,126,53,2247,165,0.96875,0.1875,0.921875,0.84375,0.96875,1.0,0.75,0.65625,0.734375,0.84375,0.96875,0.96875,0.59375,0.984375,0.453125,0.78125,0.84375,0.78125,0.8125,0.828125,0.71875,1.0,0.875,0.75,0.625,ma,0.794375,Africa
19,Netherlands,21,53.0,5.3,3535,341,1068,1797,690,77,3535,61,19,31.1,29,47.5,2132,10611,5320,82,63,9,73,44,2449,192,0.546875,0.640625,0.859375,0.75,0.875,0.875,0.8125,0.71875,0.671875,0.75,0.671875,0.515625,0.34375,0.71875,0.65625,0.75,0.75,0.71875,0.71875,0.6875,0.40625,0.8125,0.75,0.78125,0.78125,nl,0.7025,Europe
20,Poland,21,37.3,4.0,1972,290,716,904,370,58,1970,50,17,34.0,24,48.0,1012,4867,2293,41,30,7,57,30,1156,82,0.546875,0.125,0.609375,0.4375,0.8125,0.53125,0.4375,0.28125,0.453125,0.4375,0.5,0.390625,0.4375,0.484375,0.6875,0.3125,0.21875,0.1875,0.21875,0.21875,0.234375,0.53125,0.453125,0.375,0.1875,pl,0.404375,Europe
21,Portugal,24,60.4,5.0,3583,265,961,1746,896,105,3581,61,25,41.0,24,39.3,2317,11591,6110,109,87,25,71,30,2610,221,0.890625,0.9375,0.796875,0.78125,0.71875,0.8125,0.78125,0.84375,0.8125,0.78125,0.671875,0.65625,0.6875,0.484375,0.25,0.84375,0.78125,0.8125,0.875,0.875,0.859375,0.78125,0.453125,0.8125,0.8125,pt,0.7525,Europe
22,Qatar,20,43.0,3.0,1669,180,583,840,256,25,1669,42,16,38.1,17,40.5,1032,5934,2966,52,39,4,44,22,1127,71,0.28125,0.28125,0.265625,0.1875,0.25,0.21875,0.25,0.0625,0.0625,0.1875,0.234375,0.34375,0.546875,0.15625,0.3125,0.34375,0.5,0.4375,0.484375,0.4375,0.109375,0.140625,0.109375,0.28125,0.0625,qa,0.261875,Asia
23,Saudi Arabia,23,44.7,3.0,1570,187,493,676,422,66,1569,42,12,28.6,22,52.4,853,4778,2536,47,34,4,60,24,859,98,0.8125,0.34375,0.265625,0.09375,0.28125,0.03125,0.15625,0.46875,0.546875,0.09375,0.234375,0.21875,0.21875,0.4375,0.84375,0.15625,0.1875,0.28125,0.375,0.296875,0.109375,0.625,0.1875,0.09375,0.28125,sa,0.305625,Asia
24,Senegal,20,44.8,4.0,2105,235,704,891,534,68,2104,59,26,44.1,19,32.2,1302,7389,3633,65,44,16,60,45,1297,111,0.28125,0.375,0.609375,0.46875,0.59375,0.5,0.375,0.609375,0.59375,0.46875,0.625,0.6875,0.8125,0.28125,0.0625,0.53125,0.625,0.625,0.625,0.5625,0.6875,0.625,0.796875,0.5,0.375,sn,0.531875,Africa
25,Serbia,22,51.3,3.0,1835,199,584,870,398,57,1835,28,9,32.1,13,46.4,1116,5828,3125,62,49,8,49,22,1171,104,0.734375,0.546875,0.265625,0.34375,0.34375,0.25,0.28125,0.40625,0.40625,0.34375,0.03125,0.09375,0.375,0.0625,0.53125,0.46875,0.46875,0.5,0.59375,0.625,0.328125,0.3125,0.109375,0.40625,0.34375,rs,0.366875,Europe
26,Spain,21,75.8,4.3,4322,223,790,2602,948,92,4321,80,24,30.0,46,57.5,2776,11876,7031,93,66,21,70,41,3513,269,0.546875,1.0,0.734375,0.90625,0.4375,0.65625,0.9375,0.875,0.734375,0.90625,0.8125,0.609375,0.28125,0.890625,0.90625,0.90625,0.8125,0.90625,0.78125,0.75,0.75,0.75,0.671875,0.9375,0.90625,es,0.77625,Europe
27,Switzerland,24,49.0,4.0,2430,276,854,1112,487,55,2430,37,8,21.6,19,51.4,1387,8255,4716,81,51,13,55,43,1653,160,0.890625,0.5,0.609375,0.6875,0.78125,0.71875,0.65625,0.5625,0.375,0.6875,0.171875,0.03125,0.0625,0.28125,0.8125,0.625,0.6875,0.6875,0.6875,0.65625,0.5625,0.5,0.71875,0.65625,0.59375,ch,0.568125,Europe
28,Tunisia,21,44.3,3.0,1740,193,657,752,347,59,1740,46,19,41.3,19,41.3,835,4045,1783,28,18,9,52,49,987,121,0.546875,0.3125,0.265625,0.25,0.3125,0.4375,0.1875,0.25,0.5,0.25,0.390625,0.515625,0.71875,0.28125,0.375,0.09375,0.0625,0.0625,0.09375,0.03125,0.40625,0.453125,0.84375,0.1875,0.53125,tn,0.334375,Africa
29,United States,20,53.0,4.0,2676,227,735,1263,703,93,2676,66,27,40.9,26,39.4,1570,9540,5416,106,83,24,75,45,1793,171,0.28125,0.640625,0.609375,0.71875,0.5,0.59375,0.71875,0.75,0.78125,0.71875,0.75,0.734375,0.65625,0.59375,0.28125,0.65625,0.71875,0.75,0.84375,0.828125,0.8125,0.84375,0.796875,0.71875,0.65625,us,0.678125,North America
30,Uruguay,19,48.7,3.0,1848,154,573,894,396,51,1848,34,9,26.5,18,52.9,1102,5058,2580,36,40,11,51,27,1147,113,0.109375,0.46875,0.265625,0.375,0.09375,0.15625,0.40625,0.375,0.296875,0.375,0.078125,0.09375,0.15625,0.203125,0.875,0.40625,0.25,0.34375,0.15625,0.46875,0.484375,0.40625,0.34375,0.328125,0.421875,uy,0.3175,South America
31,Wales,18,46.7,3.0,1701,210,625,759,321,39,1700,36,9,25.0,18,50.0,900,4193,2070,27,25,7,45,21,1030,85,0.046875,0.40625,0.265625,0.21875,0.375,0.375,0.21875,0.125,0.09375,0.21875,0.125,0.09375,0.125,0.203125,0.734375,0.21875,0.09375,0.09375,0.0625,0.125,0.234375,0.1875,0.0625,0.21875,0.21875,wls,0.205625,
